               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12279,            0.022527,                   0,           0.0033333,             0.42857,            0.017055,           0.0068459,            0.068209,            0.017805,                   0,               0.091,               0.001,               0.001
                   1,             0.10394,            0.023513,                   0,           0.0033333,             0.57143,            0.055344,            0.015337,            0.052731,            0.015681,                   0,            0.081058,           0.0020584,           0.0020584
                   2,             0.08855,            0.024448,                   0,            0.030858,                   1,             0.11881,            0.039079,            0.042572,            0.015323,                   0,            0.071073,           0.0030733,           0.0030733
                   3,            0.077051,            0.024152,                   0,             0.80388,             0.85714,             0.78129,             0.32627,            0.033634,            0.011224,                   0,            0.061045,           0.0040446,           0.0040446
                   4,            0.066535,            0.023329,                   0,             0.54762,             0.57143,             0.61643,             0.22852,            0.041366,            0.010129,                   0,            0.050972,           0.0049723,           0.0049723
                   5,            0.066708,            0.020077,                   0,                   1,             0.69169,             0.79242,             0.45517,            0.052096,            0.010403,                   0,            0.040857,           0.0058565,           0.0058565
                   6,            0.069463,            0.018159,                   0,             0.57073,             0.85714,             0.70633,             0.36679,            0.042146,           0.0090009,                   0,            0.030697,           0.0066971,           0.0066971
                   7,            0.061993,            0.018661,                   0,             0.83591,             0.85714,               0.885,             0.34874,            0.039422,           0.0077126,                   0,            0.020494,           0.0074942,           0.0074942
                   8,            0.062195,            0.017046,                   0,                   1,             0.54495,             0.75659,             0.25307,            0.043199,           0.0071879,                   0,            0.010248,           0.0082477,           0.0082477
                   9,            0.061952,             0.01701,                   0,             0.63494,             0.85714,             0.71944,             0.38634,             0.02995,            0.006471,                   0,            0.008218,            0.008218,            0.008218
                  10,            0.056711,            0.016442,                   0,             0.70087,             0.85714,             0.72011,             0.30176,            0.036865,           0.0063776,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.061162,            0.016269,                   0,             0.72624,             0.85714,             0.79417,             0.33598,            0.032019,           0.0049229,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.053267,            0.015712,                   0,             0.80072,             0.85714,             0.83524,             0.49364,            0.027055,             0.00536,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.049143,             0.01518,                   0,             0.71405,             0.85714,              0.7186,             0.37513,            0.025318,           0.0062659,                   0,            0.007624,            0.007624,            0.007624
